SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,MARKETDIST
PAST SALE,September-10-2021,Single Family Residential,3219 Midvale Ave,Los Angeles,CA,90034,2299000,4,3,C13 - Palms - Mar Vista,2836,6830,1940,32,811,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3219-Midvale-Ave-90034/home/6752883,CRMLS,BB21148765,N,Y,34.0271216,-118.4191609,2.4
PAST SALE,May-27-2021,Single Family Residential,12524 Rose Ave,Los Angeles,CA,90066,1982778,3,3,C13 - Palms - Mar Vista,1715,5700,1947,138,1156,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12524-Rose-Ave-90066/home/6748021,CRMLS,SB21051434,N,Y,34.0137814,-118.4434457,
PAST SALE,June-7-2021,Single Family Residential,3244 Midvale Ave,Los Angeles,CA,90034,2395000,5,4,C12 - Marina Del Rey,2537,5942,1940,127,944,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3244-Midvale-Ave-90034/home/6752829,CRMLS,BB21077386,N,Y,34.0270296,-118.4183746,
PAST SALE,,Single Family Residential,3542 Moore St,Los Angeles,CA,90066,1950000,4,2,,1553,7546,1948,,1256,,,,,http://www.redfin.com/CA/Los-Angeles/3542-Moore-St-90066/home/6746543,,,N,Y,34.0056591,-118.4442615,
PAST SALE,April-22-2021,Single Family Residential,12619 Preston Way,Los Angeles,CA,90066,3599000,4,4.5,Palms - Mar Vista,4162,5751,2020,173,865,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12619-Preston-Way-90066/home/6748233,TheMLS,21-706484,N,Y,34.0093401,-118.442345,
PAST SALE,November-6-2020,Single Family Residential,3525 May St,Mar Vista,CA,90066,1373000,3,1,C13 - Palms - Mar Vista,1084,5828,1950,340,1267,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3525-May-St-90066/home/6746574,CRMLS,SB20153709,N,Y,34.0066824,-118.4435314,
PAST SALE,July-5-2021,Single Family Residential,3445 Cabrillo Blvd,Los Angeles,CA,90066,1800000,2,2,Palms - Mar Vista,1350,5250,1952,99,1333,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3445-Cabrillo-Blvd-90066/home/6747858,TheMLS,21-741608,N,Y,34.0089206,-118.4448553,
PAST SALE,June-3-2021,Single Family Residential,12549 Everglade St,Los Angeles,CA,90066,2395000,4,3,C13 - Palms - Mar Vista,2460,5700,1947,131,974,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12549-Everglade-St-90066/home/6748124,i-Tech MLS,320005578,N,Y,34.011865,-118.4427312,
PAST SALE,December-23-2020,Single Family Residential,4116 Marcasel Ave,Mar Vista,CA,90066,1988000,3,2.5,C13 - Palms - Mar Vista,1766,14821,1952,293,1126,,Sold,,,http://www.redfin.com/CA/Los-Angeles/4116-Marcasel-Ave-90066/home/6738154,CRMLS,SB20229447,N,Y,34.0007574,-118.4223573,
PAST SALE,March-17-2021,Single Family Residential,3976 Mclaughlin Ave,Los Angeles,CA,90066,1090000,2,1,Palms - Mar Vista,996,4430,1949,209,1094,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3976-McLaughlin-Ave-90066/home/6727131,TheMLS,21-682752,N,Y,34.0051924,-118.4215575,
PAST SALE,September-27-2021,Single Family Residential,3965 Mclaughlin Ave,Mar Vista,CA,90066,1608000,3,2,C13 - Palms - Mar Vista,1100,7757,1939,15,1462,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3965-McLaughlin-Ave-90066/home/6727173,CRISNet,SR21180916,N,Y,34.005245,-118.4222089,0.8
PAST SALE,September-10-2021,Single Family Residential,4065 East Blvd,Los Angeles,CA,90066,2400000,4,2,Palms - Mar Vista,2406,9259,1902,32,998,,Sold,,,http://www.redfin.com/CA/Los-Angeles/4065-East-Blvd-90066/home/6738168,TheMLS,21-769782,N,Y,34.0020622,-118.4215016,
PAST SALE,June-29-2021,Single Family Residential,3448 Redwood Ave,Los Angeles,CA,90066,1725000,3,3,Palms - Mar Vista,1481,4902,1950,105,1165,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3448-Redwood-Ave-90066/home/6745739,TheMLS,21-729448,N,Y,34.0052349,-118.4510407,
PAST SALE,June-16-2021,Single Family Residential,3492 Redwood Ave,Los Angeles,CA,90066,1680000,3,2,Palms - Mar Vista,1080,5021,1951,118,1556,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3492-Redwood-Ave-90066/home/6745750,TheMLS,21-720700,N,Y,34.004171,-118.4501935,
PAST SALE,,Single Family Residential,3489 Ashwood Ave,Los Angeles,CA,90066,1400000,2,1,,1020,5018,1926,,1373,,,,,http://www.redfin.com/CA/Los-Angeles/3489-Ashwood-Ave-90066/home/6745754,,,N,Y,34.0045352,-118.449851,
PAST SALE,July-29-2021,Single Family Residential,3819 Lyceum Ave,Los Angeles,CA,90066,1395000,3,2.5,Palms - Mar Vista,1598,2587,2021,75,873,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3819-Lyceum-Ave-90066/home/6740002,TheMLS,21-736446,N,Y,33.9986895,-118.4417518,
PAST SALE,July-30-2021,Single Family Residential,3886 Lyceum Ave,Los Angeles,CA,90066,1785000,3,2,Palms - Mar Vista,1326,5563,1926,74,1346,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3886-Lyceum-Ave-90066/home/6740037,TheMLS,21-731108,N,Y,33.9973409,-118.4402549,
PAST SALE,,Single Family Residential,3966 Beethoven St,Los Angeles,CA,90066,1475000,3,3,,1824,1360,2011,,809,,,,,http://www.redfin.com/CA/Los-Angeles/3966-Beethoven-St-90066/home/40153794,,,N,Y,33.9963528,-118.4386821,
PAST SALE,May-18-2021,Single Family Residential,3963 Tivoli Ave,Los Angeles,CA,90066,1649000,3,2,Palms - Mar Vista,2037,5958,1932,147,810,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3963-Tivoli-Ave-90066/home/6740509,TheMLS,21-708540,N,Y,33.9940892,-118.4420712,
PAST SALE,October-16-2020,Single Family Residential,12133 Herbert St,Los Angeles,CA,90066,1290640,6,2.5,Palms - Mar Vista,2214,5000,1947,361,583,,Sold,,,http://www.redfin.com/CA/Los-Angeles/12133-Herbert-St-90066/home/6737283,TheMLS,20-603714,N,Y,33.9992982,-118.4264189,
PAST SALE,December-31-2020,Single Family Residential,3858 Keeshen Dr,Los Angeles,CA,90066,1550000,6,4,Palms - Mar Vista,2611,5214,1949,285,594,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3858-Keeshen-Dr-90066/home/6739725,TheMLS,20-644896,N,Y,34.0045003,-118.4283441,0.2
PAST SALE,June-22-2021,Single Family Residential,3561 Maplewood Ave,Los Angeles,CA,90066,1650000,3,2,C13 - Palms - Mar Vista,1201,4902,1949,112,1374,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3561-Maplewood-Ave-90066/home/6746005,CRISNet,SR21097204,N,Y,34.0031994,-118.4477249,
PAST SALE,December-30-2020,Single Family Residential,3628 Maplewood Ave,Los Angeles,CA,90066,2091625,4,3,Palms - Mar Vista,2301,4901,2020,286,909,,Sold,,,http://www.redfin.com/CA/Los-Angeles/3628-Maplewood-Ave-90066/home/6746222,TheMLS,20-627048,N,Y,34.0025102,-118.4466187,
PAST SALE,June-23-2021,Single Family Residential,1834 Walgrove Ave,Los Angeles,CA,90066,1593000,2,3,Palms - Mar Vista,1496,2495,2019,111,1065,,Sold,,,http://www.redfin.com/CA/Los-Angeles/1834-Walgrove-Ave-90066/home/6745780,TheMLS,21-712526,N,Y,34.0039562,-118.4512314,
